,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/chorales/03achgot.mid,0.123,0.002,0.092,0.018,0.239,0.038,0.033,0.033,0.087,0.183,0.004,0.147
assignment3/data/midi/bach/chorales/04esistd.mid,0.0,0.109,0.02,0.074,0.199,0.009,0.15,0.0,0.114,0.071,0.029,0.225
assignment3/data/midi/bach/chorales/05anwass.mid,0.104,0.009,0.185,0.0,0.126,0.018,0.065,0.202,0.015,0.152,0.003,0.121
assignment3/data/midi/bach/chorales/06christ.mid,0.234,0.008,0.069,0.008,0.077,0.254,0.0,0.105,0.0,0.165,0.065,0.016
assignment3/data/midi/bach/chorales/07nunlob.mid,0.0,0.156,0.08,0.02,0.17,0.019,0.129,0.013,0.08,0.201,0.002,0.131
assignment3/data/midi/bach/chorales/08freuet.mid,0.195,0.091,0.008,0.087,0.036,0.205,0.003,0.087,0.134,0.023,0.127,0.003
assignment3/data/midi/bach/chorales/09ermunt.mid,0.08,0.021,0.178,0.018,0.114,0.0,0.101,0.145,0.012,0.18,0.004,0.148
assignment3/data/midi/bach/chorales/10austie.mid,0.132,0.0,0.094,0.0,0.219,0.045,0.016,0.097,0.08,0.151,0.003,0.162
assignment3/data/midi/bach/chorales/11jesu.mid,0.181,0.012,0.138,0.001,0.133,0.099,0.017,0.197,0.005,0.115,0.028,0.073
assignment3/data/midi/bach/chorales/12puerna.mid,0.188,0.016,0.12,0.01,0.161,0.042,0.042,0.146,0.021,0.161,0.0,0.094
assignment3/data/midi/bach/chorales/13allein.mid,0.166,0.013,0.117,0.001,0.19,0.051,0.015,0.14,0.029,0.178,0.0,0.101
assignment3/data/midi/bach/chorales/14oherre.mid,0.074,0.015,0.209,0.003,0.099,0.0,0.109,0.219,0.0,0.105,0.0,0.168
assignment3/data/midi/bach/chorales/15christ.mid,0.08,0.043,0.203,0.0,0.129,0.123,0.018,0.063,0.025,0.226,0.041,0.049
assignment3/data/midi/bach/fugues/fuguecm.mid,0.182,0.017,0.111,0.122,0.015,0.131,0.005,0.15,0.106,0.026,0.105,0.029
assignment3/data/midi/bach/fugues/fuguegm.mid,0.121,0.017,0.162,0.072,0.035,0.1,0.031,0.185,0.02,0.111,0.127,0.018
assignment3/data/midi/bach/gold/aria.mid,0.082,0.024,0.146,0.016,0.138,0.004,0.122,0.189,0.003,0.141,0.001,0.132
assignment3/data/midi/bach/gold/goldberg.mid,0.084,0.031,0.152,0.022,0.125,0.013,0.109,0.179,0.007,0.142,0.013,0.123
assignment3/data/midi/bach/gold/var1.mid,0.092,0.023,0.147,0.016,0.142,0.013,0.101,0.179,0.0,0.135,0.003,0.15
assignment3/data/midi/bach/gold/var10.mid,0.081,0.028,0.165,0.011,0.147,0.016,0.097,0.165,0.001,0.164,0.0,0.124
assignment3/data/midi/bach/gold/var11.mid,0.069,0.054,0.135,0.013,0.149,0.016,0.114,0.169,0.003,0.14,0.005,0.133
assignment3/data/midi/bach/gold/var12c4.mid,0.096,0.039,0.158,0.018,0.148,0.009,0.129,0.168,0.004,0.117,0.0,0.114
assignment3/data/midi/bach/gold/var13.mid,0.061,0.043,0.174,0.013,0.132,0.008,0.112,0.194,0.004,0.14,0.005,0.113
assignment3/data/midi/bach/gold/var14.mid,0.08,0.022,0.141,0.018,0.115,0.02,0.117,0.178,0.004,0.161,0.008,0.136
assignment3/data/midi/bach/gold/var15c5.mid,0.104,0.024,0.174,0.083,0.04,0.058,0.07,0.192,0.031,0.092,0.127,0.006
assignment3/data/midi/bach/gold/var16.mid,0.086,0.035,0.145,0.015,0.128,0.005,0.113,0.169,0.011,0.152,0.0,0.142
assignment3/data/midi/bach/gold/var17.mid,0.071,0.051,0.126,0.03,0.134,0.014,0.121,0.151,0.012,0.144,0.003,0.143
assignment3/data/midi/bach/gold/var18c6.mid,0.105,0.025,0.115,0.026,0.131,0.0,0.12,0.187,0.001,0.144,0.004,0.143
assignment3/data/midi/bach/gold/var19.mid,0.089,0.03,0.187,0.008,0.125,0.0,0.115,0.225,0.005,0.108,0.0,0.108
assignment3/data/midi/bach/gold/var2.mid,0.049,0.046,0.195,0.0,0.102,0.0,0.116,0.195,0.0,0.149,0.002,0.146
assignment3/data/midi/bach/gold/var20.mid,0.077,0.041,0.15,0.029,0.126,0.016,0.127,0.159,0.004,0.135,0.005,0.133
assignment3/data/midi/bach/gold/var21c7.mid,0.1,0.022,0.178,0.066,0.067,0.072,0.054,0.176,0.034,0.112,0.101,0.018
assignment3/data/midi/bach/gold/var22.mid,0.076,0.026,0.169,0.009,0.171,0.002,0.096,0.171,0.0,0.167,0.0,0.111
assignment3/data/midi/bach/gold/var23.mid,0.099,0.03,0.144,0.011,0.131,0.009,0.125,0.151,0.004,0.148,0.0,0.15
