,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/wtcbki/fugue16.mid,0.115,0.012,0.161,0.094,0.031,0.083,0.043,0.187,0.015,0.106,0.131,0.021
assignment3/data/midi/bach/wtcbki/fugue17.mid,0.126,0.113,0.015,0.162,0.013,0.151,0.016,0.104,0.156,0.011,0.132,0.001
assignment3/data/midi/bach/wtcbki/fugue18.mid,0.033,0.126,0.015,0.178,0.082,0.036,0.102,0.032,0.177,0.021,0.102,0.095
assignment3/data/midi/bach/wtcbki/fugue19.mid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
assignment3/data/midi/bach/wtcbki/fugue2.mid,0.219,0.002,0.115,0.11,0.021,0.129,0.017,0.149,0.086,0.037,0.063,0.052
assignment3/data/midi/bach/wtcbki/fugue20.mid,0.118,0.027,0.131,0.012,0.16,0.085,0.034,0.115,0.025,0.168,0.019,0.106
assignment3/data/midi/bach/wtcbki/fugue21.mid,0.15,0.002,0.156,0.105,0.02,0.141,0.016,0.124,0.019,0.093,0.163,0.01
assignment3/data/midi/bach/wtcbki/fugue22.mid,0.095,0.105,0.026,0.149,0.014,0.164,0.092,0.018,0.1,0.03,0.192,0.016
assignment3/data/midi/bach/wtcbki/fugue23.mid,0.008,0.16,0.001,0.141,0.101,0.025,0.16,0.003,0.125,0.018,0.095,0.164
assignment3/data/midi/bach/wtcbki/fugue24.mid,0.025,0.117,0.108,0.033,0.11,0.027,0.153,0.065,0.063,0.102,0.031,0.167
assignment3/data/midi/bach/wtcbki/fugue3.mid,0.106,0.138,0.017,0.13,0.013,0.146,0.087,0.042,0.17,0.002,0.137,0.012
assignment3/data/midi/bach/wtcbki/fugue4.mid,0.04,0.201,0.015,0.116,0.105,0.024,0.122,0.013,0.17,0.074,0.033,0.088
assignment3/data/midi/bach/wtcbki/fugue5.mid,0.023,0.088,0.175,0.003,0.126,0.0,0.14,0.131,0.009,0.167,0.003,0.134
assignment3/data/midi/bach/wtcbki/fugue6.mid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
assignment3/data/midi/bach/wtcbki/fugue7.mid,0.123,0.017,0.118,0.153,0.011,0.143,0.004,0.147,0.11,0.025,0.129,0.021
assignment3/data/midi/bach/wtcbki/fugue8.mid,0.026,0.094,0.04,0.177,0.022,0.108,0.117,0.022,0.147,0.006,0.16,0.08
assignment3/data/midi/bach/wtcbki/fugue9.mid,0.011,0.133,0.012,0.106,0.171,0.002,0.144,0.002,0.144,0.112,0.026,0.139
assignment3/data/midi/bach/wtcbki/prelude1.mid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
assignment3/data/midi/bach/wtcbki/prelude2.mid,0.007,0.119,0.126,0.018,0.126,0.013,0.162,0.099,0.037,0.095,0.036,0.161
assignment3/data/midi/bach/wtcbki/prelude3.mid,0.075,0.17,0.011,0.141,0.019,0.109,0.111,0.016,0.209,0.012,0.106,0.021
assignment3/data/midi/bach/wtcbki/prelude4.mid,0.07,0.163,0.009,0.139,0.127,0.011,0.116,0.026,0.175,0.062,0.042,0.059
assignment3/data/midi/bach/wtcbki/prelude5.mid,0.023,0.066,0.162,0.014,0.113,0.033,0.127,0.088,0.06,0.207,0.011,0.097
assignment3/data/midi/bach/wtcbki/prelude6.mid,0.068,0.048,0.23,0.017,0.092,0.111,0.031,0.119,0.025,0.136,0.095,0.027
assignment3/data/midi/bach/wtcbki/prelude7.mid,0.133,0.023,0.093,0.179,0.011,0.126,0.005,0.126,0.112,0.025,0.155,0.011
assignment3/data/midi/bach/wtcbki/prelude8.mid,0.024,0.074,0.058,0.19,0.022,0.11,0.078,0.049,0.109,0.014,0.178,0.096
assignment3/data/midi/bach/wtcbki/prelude9.mid,0.013,0.088,0.048,0.078,0.173,0.019,0.112,0.023,0.111,0.137,0.03,0.169
assignment3/data/midi/bach/wtcbkii/fugue1.mid,0.196,0.003,0.137,0.0,0.135,0.128,0.018,0.178,0.01,0.104,0.01,0.081
assignment3/data/midi/bach/wtcbkii/fugue10.mid,0.066,0.057,0.092,0.042,0.165,0.008,0.13,0.125,0.017,0.122,0.022,0.154
assignment3/data/midi/bach/wtcbkii/fugue11.mid,0.173,0.015,0.109,0.033,0.084,0.161,0.009,0.135,0.025,0.112,0.117,0.024
assignment3/data/midi/bach/wtcbkii/fugue12.mid,0.146,0.085,0.043,0.079,0.057,0.143,0.014,0.153,0.123,0.017,0.128,0.013
assignment3/data/midi/bach/wtcbkii/fugue2.mid,0.235,0.016,0.087,0.131,0.02,0.113,0.016,0.162,0.071,0.03,0.064,0.053
assignment3/data/midi/bach/wtcbkii/fugue3.mid,0.073,0.197,0.008,0.131,0.01,0.137,0.138,0.012,0.17,0.007,0.106,0.012
assignment3/data/midi/bach/wtcbkii/fugue4.mid,0.043,0.151,0.011,0.111,0.128,0.028,0.138,0.015,0.158,0.072,0.043,0.102
assignment3/data/midi/bach/wtcbkii/fugue5.mid,0.024,0.098,0.147,0.006,0.134,0.013,0.129,0.099,0.04,0.149,0.011,0.152
assignment3/data/midi/bach/wtcbkii/fugue6.mid,0.067,0.052,0.194,0.009,0.122,0.112,0.024,0.127,0.012,0.168,0.073,0.04
assignment3/data/midi/bach/wtcbkii/fugue7.mid,0.109,0.017,0.084,0.17,0.006,0.143,0.002,0.14,0.094,0.025,0.207,0.004
assignment3/data/midi/bach/wtcbkii/fugue8.mid,0.029,0.101,0.038,0.168,0.03,0.109,0.096,0.029,0.149,0.024,0.148,0.08
assignment3/data/midi/bach/wtcbkii/fugue9.mid,0.008,0.139,0.008,0.099,0.146,0.013,0.143,0.004,0.156,0.092,0.018,0.173
assignment3/data/midi/bach/wtcbkii/prelude1.mid,0.148,0.088,0.026,0.102,0.045,0.157,0.033,0.091,0.145,0.022,0.133,0.01
assignment3/data/midi/bach/wtcbkii/prelude2.mid,0.14,0.025,0.098,0.152,0.025,0.151,0.002,0.149,0.11,0.017,0.101,0.03
assignment3/data/midi/bach/wtcbkii/prelude3.mid,0.071,0.17,0.014,0.161,0.007,0.112,0.098,0.031,0.178,0.009,0.112,0.037
assignment3/data/midi/bach/wtcbkii/prelude4.mid,0.038,0.157,0.015,0.111,0.121,0.025,0.149,0.013,0.169,0.069,0.033,0.101
assignment3/data/midi/bach/wtcbkii/prelude5.mid,0.016,0.102,0.158,0.008,0.146,0.009,0.134,0.092,0.027,0.174,0.019,0.114
assignment3/data/midi/bach/wtcbkii/prelude6.mid,0.078,0.055,0.199,0.011,0.101,0.098,0.03,0.134,0.013,0.167,0.077,0.039
assignment3/data/midi/bach/wtcbkii/prelude7.mid,0.111,0.021,0.115,0.165,0.007,0.116,0.012,0.13,0.099,0.033,0.179,0.013
assignment3/data/midi/bach/wtcbkii/prelude8.mid,0.041,0.102,0.036,0.145,0.021,0.117,0.126,0.021,0.122,0.021,0.161,0.087
assignment3/data/midi/bach/wtcbkii/prelude9.mid,0.023,0.104,0.009,0.097,0.199,0.007,0.123,0.008,0.131,0.103,0.024,0.171
